Price,Close,High,Low,Open,Volume
Ticker,8766.T,8766.T,8766.T,8766.T,8766.T
Date,,,,,
2014-04-03,690.8411254882812,695.6736646006656,682.4938662157896,693.9163849637172,7982700
2014-04-04,692.1591796875,697.2114094634435,686.6675696227865,686.6675696227865,5461500
2014-04-07,679.4186401367188,692.8181293010206,673.4877305719948,688.2051996395686,8720700
2014-04-08,672.38916015625,678.979097537837,661.1863349841706,669.313901629255,6352800
2014-04-09,666.6781616210938,669.7534211576292,661.4062421624005,666.0191716887571,8736300
2014-04-10,660.0881958007812,672.1696632693544,657.6718862184467,671.730323284871,6783900
2014-04-11,646.908447265625,648.8854170125608,638.5612282602674,642.2955178561081,6794400
2014-04-14,648.0067138671875,657.012922466998,644.0527745143269,645.1511044084162,5973300
2014-04-15,643.3939208984375,650.6428112473913,641.4169508032683,647.7872011837778,5005200
2014-04-16,663.1633911132812,664.2617208578603,645.3706664474456,650.2032851463573,5708400
2014-04-17,657.4521484375,667.9959848830247,657.0128085117551,661.1863970309273,6662100
2014-04-18,663.8223876953125,667.1173367411554,659.4291491152193,662.943748023603,3108000
2014-04-21,667.3370971679688,671.0713463325136,663.8224576675676,667.9960870466002,3549900
2014-04-22,663.8223876953125,671.2909656802539,663.8223876953125,667.776326550324,6265200
2014-04-23,663.1633911132812,666.6780302073162,657.4521729731791,666.6780302073162,4995600
2014-04-24,663.8223876953125,671.7302654053357,661.1864284586381,665.1403673136497,4587600
2014-04-25,667.99609375,673.9270027172003,658.111245471333,660.3078650149642,7133700
2014-04-28,663.3831176757812,667.5567065802223,655.6948894840289,657.4522091276846,4631100
2014-04-30,661.40625,671.071408974433,660.9669099660516,668.6551393416017,5116200
2014-05-01,675.9039916992188,678.5399514724274,663.8225228125305,665.1405026991348,5198700
2014-05-02,676.7825927734375,678.5398722694209,670.8516839760072,674.5859732926835,4542600
2014-05-07,643.1741943359375,666.6781827410546,640.9775745657456,666.6781827410546,13053900
2014-05-08,653.9376220703125,659.4292313122705,642.2954941381877,643.1741339194185,6724800
2014-05-09,657.6719360351562,662.7242054639866,653.4983466418502,654.157336557717,6529800
2014-05-12,655.2557373046875,661.1866475524986,654.1574474065027,657.6720474795006,4607400
2014-05-13,673.48779296875,676.3434431714437,667.3372329241668,668.874862879923,6438600
2014-05-14,678.3201904296875,679.4184799424214,670.6319627328244,671.0712624492999,3950700
2014-05-15,669.7535400390625,670.8518701950953,661.1866693980642,668.4355599404473,4582800
2014-05-16,647.5673217773438,658.9897982057279,643.8330328469962,654.8162095576067,8427000
2014-05-19,641.6364135742188,648.4459614149582,640.7577336956073,648.4459614149582,5101500
2014-05-20,645.5904541015625,652.400003015415,633.7286358649186,643.6134843954552,13282500
2014-05-21,648.226318359375,653.2785467174614,638.7807710052131,639.6594508930465,10643400
2014-05-22,667.117431640625,669.3140914646991,648.6657143590919,651.3016739707396,11022600
2014-05-23,678.5399169921875,681.3955667490889,668.2157685527816,671.0713780881308,9411000
2014-05-26,676.1235961914062,686.2281341899194,672.389306911821,686.2281341899194,6159300
2014-05-27,678.1005249023438,687.9853722041271,677.6612251699622,679.857804274963,6152100
2014-05-28,686.4478759765625,692.3787858566761,675.4647363462788,677.4417063063166,7496100
2014-05-29,693.9163208007812,698.7489399094229,677.8808741008638,677.8808741008638,6894000
2014-05-30,706.4371948242188,710.1714442262718,698.529315777679,699.4079958194408,11576700
2014-06-02,719.3973388671875,724.6692584935561,708.194509661154,711.7091495597697,9845100
2014-06-03,719.6168212890625,727.5246984460852,717.8595420685307,723.35106979885,7692900
2014-06-04,740.9242553710938,741.3635551079042,721.8135503949788,726.2067890923647,12845700
2014-06-05,731.478759765625,740.4849278913156,727.3051304180611,735.8719987756765,9434400
2014-06-06,738.9473876953125,745.5372868708263,733.6754683549015,733.6754683549015,9234600
2014-06-09,740.2651977539062,746.1961056516415,740.0455076840724,745.7567255119736,4110900
2014-06-10,737.4098510742188,748.1733818214597,734.773890927394,742.6817713678682,6329700
2014-06-11,751.0289306640625,751.2486208178555,739.6064906429453,740.2654806612067,6559200
2014-06-12,749.930419921875,755.4220286044431,747.0747705360445,752.127079483521,10184700
2014-06-13,756.7400512695312,760.035000577754,739.3866247651918,739.3866247651918,12345300
2014-06-16,753.2255249023438,759.8154245077885,751.4682451552619,757.8384546261551,5991300
2014-06-17,745.0979614257812,752.1272413586744,743.1209915277384,750.8092614266458,7188000
2014-06-18,755.2024536132812,757.8384133117569,747.0748843952792,749.2715442917109,6598800
2014-06-19,760.9135131835938,763.7691624055703,754.9826051062424,757.838254328219,9067200
2014-06-20,750.150146484375,768.6018624586886,749.9304563846007,766.6248928900121,19766400
2014-06-23,756.7400512695312,760.035000577754,753.2254118597275,756.0810614078866,7375200
2014-06-24,763.3300170898438,767.2839566078175,755.6417477317135,757.6187174907004,6820800
2014-06-25,747.9533081054688,760.0348127306361,747.9533081054688,760.0348127306361,7435800
2014-06-26,744.4388427734375,754.982680407021,743.7798529213385,754.5433806533208,5989500
2014-06-27,735.4328002929688,740.265420179754,728.6232105129228,739.6064302153337,6657000
2014-06-30,731.9180908203125,738.9473700685888,723.3512220964973,735.8720302313043,6889800
2014-07-01,737.1900634765625,739.3867234562806,732.5771338293308,736.970453788767,6623400
2014-07-02,736.970458984375,743.3406683944255,734.993489121624,741.3636985316743,8198100
2014-07-03,735.4328002929688,742.022699937171,731.0395606778708,738.9474402509135,7268400
2014-07-04,734.993408203125,744.6585663203496,733.6754284397261,744.4388762120828,5396700
2014-07-07,732.3575439453125,738.9474436195561,731.9181636716221,731.9181636716221,3336000
2014-07-08,711.0501708984375,718.2990604998117,707.755221079631,716.9810805722891,11541900
2014-07-09,713.0270385742188,715.6629980513877,703.8011804041272,707.7551196198807,9914400
